GKEY,TRUCK_ENTERED,EDATE,PHOUR,EXITED,PICK_YARD_POS,PICK_ROW_NBR,tv_trans_count,DROP_POS_ID,DROP_POS,DIST,DROP_ROW_NBR,DROP_POS_ID_FLD,DROP_POS_FLD,DIST_FLD,DROP_ROW_NBR_FLD,TT_MIN,TGT_TT,ROW_Feature,RTG,HAD_TROUBLE,TRK_IN_BTW,TRK_OPP,TOT,TRK_IN_ROW,TIER,AVG_30_MIN,RTG_Count
11512910,17-JAN-19 16:19:29,2019-01-17,16,17-JAN-19 18:42:16,434,K,2,222B1.A,222,672,B,222B1.A,222,682,B,119,3,14,RTG5,0,2,12,14,41,2,45.95833333,2
11511907,17-JAN-19 13:31:47,2019-01-17,14,17-JAN-19 16:26:48,115,I,2,463B4.A,463,112,B,463B5.D,463,122,B,121,3,16,RTG14,0,0,6,6,51,1,57.96428571,4
11512993,17-JAN-19 16:40:09,2019-01-17,17,17-JAN-19 19:18:36,465,I,2,411A2.D,411,514,A,411A2.B,411,524,A,122,3,17,RTG14,0,12,6,18,42,1,52.7,2
11509726,17-JAN-19 07:30:56,2019-01-17,8,17-JAN-19 10:37:00,352,K,2,306B2.A,306,506,B,172B7.C,172,650,B,123,3,14,RTG5,0,0,1,1,19,2,27.8,2
11511717,17-JAN-19 13:01:08,2019-01-17,13,17-JAN-19 15:44:49,284,J,2,176B7.B,176,568,B,176B7.A,176,578,B,124,3,15,RTG7,0,0,17,17,59,4,60.4,2
11511792,17-JAN-19 13:13:22,2019-01-17,13,17-JAN-19 16:22:55,280,J,2,342E3.C,342,398,E,342E3.C,342,408,E,124,3,12,RTG7,0,0,20,20,65,1,49,2
11512431,17-JAN-19 14:48:10,2019-01-17,15,17-JAN-19 18:48:59,417,K,2,439M15.A,439,438,M,439M15.A,439,448,M,124,3,4,RTG5,0,0,14,14,51,1,45.53846154,3
11512842,17-JAN-19 16:05:17,2019-01-17,16,17-JAN-19 19:24:34,167,J,2,439M12.C,439,188,M,439M12.D,439,198,M,124,3,5,RTG9,0,0,4,4,61,1,87.38461538,2
11511432,17-JAN-19 12:15:06,2019-01-17,12,17-JAN-19 14:54:38,322,J,2,272M8.E,272,510,M,272M8.B,272,520,M,125,3,5,RTG21,0,0,16,16,58,2,58.9,4
11511359,17-JAN-19 12:03:17,2019-01-17,12,17-JAN-19 14:49:33,318,J,2,272M8.A,272,506,M,272M7.E,272,516,M,126,3,5,RTG21,0,0,10,10,58,2,56.83333333,4
11512226,17-JAN-19 14:19:50,2019-01-17,14,17-JAN-19 16:44:47,126,K,2,164F4.C,164,422,F,164F4.C,164,432,F,126,3,10,RTG5,0,11,3,14,53,2,52.8,4
11512872,17-JAN-19 16:11:28,2019-01-17,16,17-JAN-19 19:22:16,202,J,2,122B1.B,122,540,B,122B1.B,122,550,B,126,3,15,RTG7,0,0,21,21,61,1,78.5,2
11512983,17-JAN-19 16:37:28,2019-01-17,17,17-JAN-19 19:26:36,175,J,2,411A2.C,411,224,A,411A2.A,411,234,A,126,3,16,RTG9,0,0,5,5,58,4,70.06666667,2
11511278,17-JAN-19 11:44:28,2019-01-17,12,17-JAN-19 14:51:32,75,J,2,105D4.B,105,430,D,105D4.C,105,440,D,127,3,13,RTG8,0,0,12,12,57,2,74.33333333,4
11512314,17-JAN-19 14:30:07,2019-01-17,15,17-JAN-19 17:27:28,102,J,2,172B1.C,172,390,B,172B1.C,172,400,B,127,3,15,RTG7,0,28,2,30,70,1,96.30769231,3
11512396,17-JAN-19 14:42:57,2019-01-17,15,17-JAN-19 17:16:00,134,J,2,452B4.D,452,142,B,452B4.D,452,152,B,129,3,15,RTG7,0,23,6,29,68,1,81.83333333,3
11512854,17-JAN-19 16:08:15,2019-01-17,16,17-JAN-19 19:39:02,173,L,2,439M12.D,439,194,M,439M12.A,439,204,M,129,3,3,RTG20,0,0,3,3,44,2,33.9375,2
11512213,17-JAN-19 14:17:35,2019-01-17,14,17-JAN-19 17:00:12,171,J,2,277B1.C,277,354,B,277B1.C,277,364,B,130,3,15,RTG7,0,24,5,29,71,4,109.9,5
11511152,17-JAN-19 11:24:53,2019-01-17,11,17-JAN-19 13:14:13,225,J,2,255B7.C,255,430,B,255B7.C,255,440,B,40,2,15,RTG7,0,2,17,19,49,1,58.36363636,2
11511158,17-JAN-19 11:25:51,2019-01-17,11,17-JAN-19 13:09:15,160,K,2,468C4.A,468,152,C,468C5.D,468,162,C,70,3,13,RTG12,0,0,4,4,22,1,20.36363636,2
11511310,17-JAN-19 11:53:21,2019-01-17,12,17-JAN-19 14:40:13,206,I,2,272M1.B,272,394,M,272M7.B,272,404,M,134,3,6,RTG6,0,0,16,16,40,1,29.875,4
11512881,17-JAN-19 16:13:25,2019-01-17,16,17-JAN-19 19:11:05,127,J,2,411A4.D,411,176,A,411A4.C,411,186,A,136,3,16,RTG10,0,0,10,10,60,1,77.26666667,2
11513002,17-JAN-19 16:41:59,2019-01-17,17,17-JAN-19 19:20:06,138,L,2,452B1.C,452,146,B,452B2.C,452,156,B,139,3,13,RTG20,0,0,5,5,42,2,54.5,2
11511481,17-JAN-19 12:23:42,2019-01-17,12,17-JAN-19 15:29:58,272,J,2,430M4.C,430,302,M,430M7.E,430,312,M,141,3,5,RTG7,0,3,7,10,58,3,74.71428571,4
11512369,17-JAN-19 14:38:38,2019-01-17,15,17-JAN-19 19:34:34,102,L,2,430M1.B,430,132,M,430M3.D,430,142,M,141,3,3,RTG20,0,0,1,1,53,2,58.83333333,3
11510399,17-JAN-19 09:28:40,2019-01-17,9,17-JAN-19 12:11:02,276,J,2,306B2.D,306,430,B,306B2.C,306,440,B,142,3,15,RTG24,0,7,0,7,41,2,48.2,3
11511394,17-JAN-19 12:08:17,2019-01-17,12,17-JAN-19 15:22:00,302,J,2,272M9.A,272,490,M,272M8.A,272,500,M,142,3,5,RTG21,0,0,11,11,56,2,46.375,4
11510810,17-JAN-19 10:29:50,2019-01-17,10,17-JAN-19 13:59:24,75,J,2,381F2.A,381,154,F,381F2.A,381,164,F,145,3,11,RTG8,0,7,1,8,52,4,49.46153846,4
11512501,17-JAN-19 14:59:02,2019-01-17,15,17-JAN-19 17:47:58,414,L,2,242B6.D,242,632,B,242B6.C,242,642,B,147,3,13,RTG23,0,1,14,15,51,1,44.25,3
11511238,17-JAN-19 11:37:42,2019-01-17,12,17-JAN-19 15:08:31,356,J,2,272M8.B,272,544,M,272M6.E,272,554,M,150,3,5,RTG7,0,7,12,19,54,1,67,4
11510747,17-JAN-19 10:21:33,2019-01-17,10,17-JAN-19 13:38:39,257,K,2,107D4.B,107,610,D,107D4.B,107,620,D,151,3,12,RTG12,0,0,1,1,33,3,50.73076923,4
11510678,17-JAN-19 10:10:38,2019-01-17,10,17-JAN-19 14:17:49,85,J,2,149B1.D,149,396,B,149B1.C,149,406,B,153,3,15,RTG8,0,10,4,14,52,1,56.07692308,4
11511162,17-JAN-19 11:26:48,2019-01-17,11,17-JAN-19 12:39:15,171,J,2,255B7.D,255,376,B,255B6.A,255,386,B,33,2,15,RTG7,0,6,13,19,50,3,58.36363636,2
11511164,17-JAN-19 11:27:09,2019-01-17,11,17-JAN-19 14:05:01,159,I,2,255B6.A,255,364,B,255B7.D,255,374,B,132,3,16,RTG6,0,0,9,9,32,1,19.1,2
11511169,17-JAN-19 11:27:32,2019-01-17,11,17-JAN-19 12:54:45,225,J,2,417B2.A,417,268,B,417B2.B,417,278,B,43,2,15,RTG7,0,2,18,20,51,2,60.7,2
11511525,17-JAN-19 12:29:25,2019-01-17,12,17-JAN-19 15:50:04,464,H,2,356B7.D,356,568,B,356B7.D,356,578,B,155,3,17,RTG4,0,4,7,11,17,1,49.8,2
11513031,17-JAN-19 16:49:57,2019-01-17,17,17-JAN-19 19:51:18,106,I,2,114B5.A,114,452,B,114B5.A,114,462,B,156,3,16,RTG20,0,0,4,4,38,2,60.4,2
